Participant ID,1_Primals_qn0,1_Primals_qn1,1_Primals_qn2,1_Primals_qn3,1_Primals_qn4,1_Primals_qn5,2_Primals_qn6,2_Primals_qn7,2_Primals_qn8,2_Primals_qn9,2_Primals_qn10,2_Primals_qn11,3_Primals_qn12,3_Primals_qn13,3_Primals_qn14,3_Primals_qn15,3_Primals_qn16,3_Primals_qn17,3_Primals_qn18
247,Disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Agree,Slightly disagree,Agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree
248,Agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
249,Agree,Disagree,Slightly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree
250,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Agree,Strongly disagree,Slightly disagree,Disagree,Disagree
251,Disagree,Disagree,Strongly disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly agree
252,Agree,Disagree,Slightly agree,Disagree,Disagree,Disagree,Agree,Disagree,Slightly agree,Disagree,Agree,Agree,Slightly disagree,Strongly disagree,Slightly agree,Disagree,Slightly disagree,Agree,Slightly agree
253,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
254,Agree,Disagree,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Slightly disagree,Disagree,Slightly disagree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree
255,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Agree,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Strongly agree
256,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Slightly disagree,Agree,Strongly agree
257,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,Disagree,,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree
258,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly agree,Disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Agree
259,Agree,Slightly disagree,Strongly disagree,Disagree,Slightly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Slightly agree,Disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Agree
260,Agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Strongly agree
261,Agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Agree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree
263,Agree,Slightly disagree,Slightly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Agree
264,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Slightly agree,Strongly agree
265,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Agree
266,Strongly agree,Agree,Slightly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Slightly agree,Agree,Agree,Disagree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Strongly agree
267,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree
268,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree
269,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly disagree,Agree,Agree,Strongly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Agree
270,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
271,Agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Disagree,Agree,Agree,Slightly agree,Disagree,Disagree,Agree,Slightly disagree,Slightly disagree,Disagree,Agree
272,Agree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
273,Disagree,Disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Slightly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree
275,Slightly agree,Agree,Agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree
277,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Strongly disagree,Slightly agree,Agree,Slightly disagree,Agree,Disagree,Disagree,Agree,Slightly disagree,Slightly agree,Slightly disagree
278,Slightly agree,Slightly agree,Disagree,Strongly disagree,Slightly agree,Slightly disagree,Strongly agree,Agree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Agree
279,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree
282,Agree,Disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Agree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree
283,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Slightly disagree,Agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Agree
285,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Slightly disagree,Strongly disagree,Slightly agree
286,Slightly agree,Slightly agree,Agree,Slightly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Slightly disagree,Slightly agree,Strongly agree
287,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Agree
288,Strongly agree,Slightly agree,Disagree,Agree,Slightly disagree,Disagree,Strongly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,Strongly agree,Slightly disagree,Strongly disagree,Agree
289,Agree,Agree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Agree
290,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Slightly agree,Disagree,Slightly disagree,Agree,Slightly agree
291,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Strongly agree,Agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree
292,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
293,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree
294,Agree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Agree,Agree
295,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree
296,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Disagree
297,Agree,Slightly agree,Agree,Slightly agree,Agree,Disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Slightly disagree,Agree,Agree,Slightly disagree,Agree,Agree
298,Strongly agree,Agree,Slightly disagree,Strongly agree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree
299,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Strongly agree,Agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Agree
300,Agree,Slightly agree,Slightly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
301,Slightly disagree,Agree,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree
302,Agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree
303,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree
304,Slightly agree,Disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Strongly agree,Strongly agree,Disagree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Disagree,Agree,Disagree,Slightly disagree,Agree,Slightly agree
305,Slightly agree,Slightly agree,Slightly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly agree,Disagree,Strongly disagree,Agree,Slightly agree,Slightly disagree,Agree,Agree
306,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Agree
307,Disagree,Disagree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree
308,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,Slightly agree,Agree,Strongly agree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree
309,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Agree,Strongly agree
310,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Slightly disagree,Slightly agree,Agree
311,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree
312,Agree,Disagree,Slightly agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Agree
314,Slightly agree,Disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
315,Agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Slightly agree,Strongly agree,Agree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Strongly agree
316,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Agree,Slightly agree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Strongly agree
318,Slightly agree,Strongly agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly agree
319,Strongly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Slightly agree,Strongly agree,Agree,Disagree,Slightly agree,Agree,Disagree,Agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Strongly agree
320,Agree,Slightly disagree,Slightly disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree
321,Agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Strongly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree
322,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,Strongly agree,Disagree,Agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Strongly agree
323,Disagree,Disagree,Strongly disagree,Slightly disagree,Agree,Agree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Slightly disagree,Strongly disagree,Disagree
325,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Slightly agree
326,Slightly agree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
327,Strongly disagree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Strongly agree
328,Agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly agree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Agree
329,Agree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree
330,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree
333,Agree,Agree,Slightly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Slightly agree,Strongly agree,Slightly disagree,Disagree,Strongly agree
335,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree
336,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Slightly disagree,Disagree,Disagree
337,Agree,Strongly disagree,Disagree,Slightly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Slightly agree,Slightly disagree,Agree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly agree
338,Agree,Disagree,Slightly agree,Agree,Slightly agree,Disagree,Agree,Agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree
340,Strongly agree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Slightly agree,Strongly disagree,Strongly disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Agree
341,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
342,Agree,Agree,Slightly disagree,Slightly agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Agree
343,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,Agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
344,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Agree,Disagree,Slightly disagree,Agree,Slightly agree,Strongly agree,Slightly agree,Agree,Agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Disagree
345,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Strongly agree,Agree,Disagree,Slightly disagree,Agree,Disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree
346,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree
347,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,Slightly agree,Slightly disagree,Agree,Agree
348,Agree,Strongly disagree,Strongly disagree,Slightly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree
