Participant ID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
162,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,Extremely (5)
163,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
164,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
165,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
168,A little (2),Moderately (3),Very slightly or not at all (1) ,Extremely (5),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2)
169,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3)
170,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Very slightly or not at all (1) 
171,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Quite a bit (4),Moderately (3),Moderately (3),A little (2)
172,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
173,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),A little (2),Quite a bit (4),A little (2)
174,A little (2),Quite a bit (4),Quite a bit (4),Extremely (5),Moderately (3),Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),A little (2),Moderately (3),Quite a bit (4)
175,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
176,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
177,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
178,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
179,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
180,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
181,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2)
182,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
183,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
184,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) 
185,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
186,Quite a bit (4),Extremely (5),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Extremely (5),A little (2),Extremely (5),Extremely (5),A little (2),Extremely (5),Very slightly or not at all (1) ,Extremely (5)
188,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) 
189,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
190,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2)
191,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4)
193,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) 
194,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
195,Quite a bit (4),A little (2),A little (2),Extremely (5),Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4)
196,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
197,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2)
198,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
199,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2)
200,Moderately (3),Moderately (3),A little (2),Extremely (5),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),A little (2),A little (2),Moderately (3)
201,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
203,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),A little (2)
204,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Quite a bit (4),Extremely (5),A little (2),A little (2),Moderately (3),A little (2),A little (2)
205,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
206,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Extremely (5),Moderately (3),A little (2),A little (2)
207,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),A little (2)
208,Quite a bit (4),A little (2),A little (2),Extremely (5),A little (2),A little (2),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) 
209,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
213,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) 
214,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) ,Extremely (5),A little (2),Extremely (5),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) 
215,Extremely (5),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
216,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2)
217,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Extremely (5),A little (2),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Quite a bit (4),A little (2),Extremely (5),A little (2),A little (2),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
218,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
219,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
220,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
221,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
222,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
223,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Moderately (3)
225,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
226,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) 
227,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),Moderately (3),Quite a bit (4)
228,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
229,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
230,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) 
231,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),A little (2)
232,Moderately (3),Extremely (5),Moderately (3),Extremely (5),Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,Extremely (5)
233,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),A little (2),A little (2),A little (2)
234,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2)
235,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2)
236,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
237,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
238,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Very slightly or not at all (1) 
239,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) 
240,Moderately (3),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),A little (2),Quite a bit (4)
241,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
